Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Sunbury,10 Mounsey Ct,4,h,590000,SP,Brad,6/1/18,31.7,3429,4,2,2,701,227,1975,Hume City Council,-37.58364,144.71961,Western Metropolitan,14092
Richmond,401/28 Tanner St,2,u,1667500,S,Jellis,22/07/2017,2.4,3121,2,2,2,92,141,1940,Yarra City Council,-37.82324,144.99174,Northern Metropolitan,14949
Point Cook,38 Yuruga Bvd,4,h,635000,S,hockingstuart,16/09/2017,14.7,3030,4,2,2,334,244,2000,Wyndham City Council,-37.90584,144.74858,Western Metropolitan,15542
Bayswater,32 Kumala Rd,5,h,930000,S,Noel,3/6/17,23.2,3153,5,2,2,992,198,1970,Knox City Council,-37.84613,145.25606,Eastern Metropolitan,5030
Brunswick,25 Hardy St,4,h,1500000,VB,Nelson,3/12/16,5.2,3056,4,3,1,365,209,1890,Moreland City Council,-37.7624,144.9671,Northern Metropolitan,11918
South Yarra,4C Surrey Rd,3,t,1560000,S,Jellis,11/11/17,2.7,3141,3,2,2,141,140,1995,Melbourne City Council,-37.8467,144.9983,Southern Metropolitan,14887
Reservoir,29 Arundel Av,3,h,570000,VB,Nelson,11/11/17,12,3073,3,2,1,284,80,1960,Darebin City Council,-37.6968,145.0182,Northern Metropolitan,21650
Elsternwick,30 Ross St,2,h,900000,VB,Gary,3/9/16,8.5,3185,2,1,2,239,110,1940,Glen Eira City Council,-37.8845,144.999,Southern Metropolitan,4898
Rosanna,2/237 Rosanna Rd,3,u,601000,S,Barry,28/05/2016,11.4,3084,3,2,1,217,142,2006,Banyule City Council,-37.7388,145.0742,Eastern Metropolitan,3540
Preston,20 Ambon St,3,h,910000,S,hockingstuart,22/04/2017,8.8,3072,3,1,1,674,90,1955,Darebin City Council,-37.7341,145.0275,Northern Metropolitan,14577
Reservoir,5/25 Ashley St,2,u,300000,S,Love,26/07/2016,11.2,3073,2,1,1,87,62,1970,Darebin City Council,-37.7174,145.0016,Northern Metropolitan,21650
South Melbourne,24 Lyell St,3,h,1250000,VB,Greg,17/09/2016,2.1,3205,3,2,1,108,125,1890,Port Phillip City Council,-37.8363,144.9509,Southern Metropolitan,5943
Mill Park,12 Bradley Dr,3,h,744000,S,Barry,28/10/2017,17.9,3082,3,2,2,667,153,1994,Whittlesea City Council,-37.65541,145.07495,Northern Metropolitan,10529
Maribyrnong,18/4 Wests Rd,2,u,353000,S,Biggin,27/05/2017,4.3,3032,2,1,1,4977,79,2000,Maribyrnong City Council,-37.77367,144.88161,Western Metropolitan,4918
Toorak,29 Gordon St,3,h,2300000,PI,RT,17/03/2018,4.1,3142,3,2,1,230,181,1930,Stonnington City Council,-37.84387,145.00687,Southern Metropolitan,7217
Bulleen,12 Ralph St,4,h,1300000,PI,Luxton,23/09/2017,10.8,3105,4,2,3,650,120,1960,Manningham City Council,-37.77352,145.09844,Eastern Metropolitan,4480
Glenroy,298 Waterloo Rd,4,h,1200000,S,Barry,7/10/17,11.2,3046,4,2,2,672,240,2016,Moreland City Council,-37.71136,144.91981,Northern Metropolitan,8870
South Morang,5 Snapdragon St,3,h,433500,S,HAR,28/10/2017,20.5,3752,3,2,2,146,138,2014,Whittlesea City Council,-37.65133,145.09697,Northern Metropolitan,7969
Footscray,6/114 Commercial Rd,1,u,291000,PI,Sweeney,7/5/16,6.4,3011,1,1,1,665,46,1970,Maribyrnong City Council,-37.7978,144.8918,Western Metropolitan,7570
Sunshine North,90 McIntyre Rd,3,h,490000,PI,Douglas,29/04/2017,13.3,3020,3,1,1,546,145,1960,Brimbank City Council,-37.7676,144.8307,Western Metropolitan,4217
Williamstown,58 Anzac Cr,4,h,1600000,PI,Williams,17/03/2018,6.8,3016,4,3,2,509,127,1990,Hobsons Bay City Council,-37.8621,144.88598,Western Metropolitan,6380
Williamstown,28 Council La,3,h,1560000,SP,Greg,7/11/16,8,3016,3,2,2,310,179,2005,Hobsons Bay City Council,-37.8644,144.9039,Western Metropolitan,6380
Sandringham,1/10 Reno Rd,4,h,1235000,S,Hodges,29/07/2017,15.2,3191,4,2,2,404,165,1925,Bayside City Council,-37.95882,145.02138,Southern Metropolitan,4497
Dingley Village,11 Kimber Ct,4,h,1100000,S,Buxton,17/06/2017,22.2,3172,4,2,2,840,237,1980,Kingston City Council,-37.97824,145.12949,South-Eastern Metropolitan,3940
Brunswick East,255 Edward St,2,h,1200000,S,Jellis,7/10/17,4,3057,2,1,1,182,96,1880,Moreland City Council,-37.77523,144.97479,Northern Metropolitan,5533
Keilor East,23 Prospect Dr,3,h,600000,S,Bells,22/08/2016,12.8,3033,3,1,1,565,125,1970,Brimbank City Council,-37.7498,144.8585,Western Metropolitan,5629
Coburg,63 Victoria St,3,h,935000,S,Raine,18/11/2017,6.7,3058,3,1,1,278,120,1910,Darebin City Council,-37.7425,144.9577,Northern Metropolitan,11204
Sunshine West,2/10 Carter St,3,u,545000,S,Barry,10/12/16,13.5,3020,3,2,1,240,131,2011,Brimbank City Council,-37.7891,144.8152,Western Metropolitan,6763
Kew,537 High St,3,h,1750000,VB,Kay,26/08/2017,5.4,3101,3,2,2,431,232,2006,Boroondara City Council,-37.80121,145.04581,Southern Metropolitan,10331
Malvern,4 McArthur St,4,h,2360000,PI,Jellis,17/02/2018,5.9,3144,4,2,4,614,281,1999,Stonnington City Council,-37.85736,145.03923,Southern Metropolitan,4675
Williamstown,68 Osborne St,3,h,1710000,SP,RT,27/11/2016,8,3016,3,2,1,260,170,2016,Hobsons Bay City Council,-37.8671,144.9001,Western Metropolitan,6380
Officer,1 Longmeadow Rd,4,h,563000,S,Ray,9/12/17,43.3,3809,4,2,2,430,155,2013,Cardinia Shire Council,-38.07273,145.43373,Eastern Victoria,2768
Sunshine West,2/42 Bardsley St,3,t,510000,SP,Barry,28/05/2016,13.5,3020,3,2,1,333,141,2012,Brimbank City Council,-37.7912,144.8215,Western Metropolitan,6763
Balwyn,5/4 Raynes St,2,u,725000,VB,Noel,27/05/2017,7.9,3103,2,1,1,136,76,1975,Boroondara City Council,-37.80626,145.08776,Southern Metropolitan,5682
Brunswick West,13 Zeal St,2,h,1225000,SP,Walshe,9/9/17,5.2,3055,2,1,2,501,495,1930,Moreland City Council,-37.75772,144.94349,Northern Metropolitan,7082
Surrey Hills,10 Pembroke St,5,h,2230000,SA,Woodards,16/09/2017,10.2,3127,5,2,2,754,270,1905,Boroondara City Council,-37.82807,145.10796,Southern Metropolitan,5457
Reservoir,79 Darebin Bvd,3,h,622500,S,Ray,17/09/2016,11.2,3073,3,1,1,456,94,1960,Darebin City Council,-37.7038,145.0281,Northern Metropolitan,21650
Mont Albert,371 Elgar Rd,2,h,1320000,SP,Lindellas,3/9/16,11.8,3127,2,1,1,613,115,1950,Boroondara City Council,-37.8238,145.1135,Eastern Metropolitan,2079
Ripponlea,26 Bell St,2,t,755000,S,Chisholm,27/06/2016,7.4,3185,2,2,1,66,111,2005,Port Phillip City Council,-37.8813,144.9964,Southern Metropolitan,821
Botanic Ridge,15 Bellis Cct,4,h,750000,S,Bowman,18/11/2017,34.7,3977,4,2,2,629,223,2010,Casey City Council,-38.1452,145.2512,South-Eastern Metropolitan,1240
Greenvale,4 Lysterfield Dr,5,h,800000,SP,LJ,8/7/17,20.4,3059,5,3,2,544,332,2008,Hume City Council,-37.61079,144.90823,Northern Metropolitan,4864
Oakleigh,62 Eastgate St,4,h,1180000,S,Buxton,27/06/2016,14,3166,4,1,2,604,183,1965,Monash City Council,-37.9087,145.0886,Southern Metropolitan,3224
Taylors Hill,13 York Cl,4,h,660000,S,YPA,6/1/18,18,3037,4,2,2,666,214,2003,Melton City Council,-37.70533,144.74731,Western Metropolitan,4242
Mitcham,1 Dunlavin Rd,4,h,890000,S,Buxton,23/09/2017,17.2,3132,4,2,2,481,166,1965,Whitehorse City Council,-37.80961,145.1847,Eastern Metropolitan,6871
Briar Hill,31 Boyce Av,3,h,830000,S,Buckingham,12/8/17,16.1,3088,3,1,2,905,183,1962,Banyule City Council,-37.7063,145.12215,Eastern Metropolitan,1390
Northcote,2/19 Glanfield St,2,u,665000,PI,Barry,18/03/2017,5.5,3070,2,1,1,120,76,1975,Darebin City Council,-37.7715,145.0075,Northern Metropolitan,11364
Bentleigh East,1A Brian St,4,t,1185000,S,hockingstuart,10/12/16,13.9,3165,4,2,2,305,207,2012,Glen Eira City Council,-37.9245,145.0507,Southern Metropolitan,10969
Altona,59 Bracken Gr,5,h,1525000,S,Greg,3/12/16,13.8,3018,5,3,3,729,268,2005,Hobsons Bay City Council,-37.8721,144.8105,Western Metropolitan,5301
Ascot Vale,8 Anderson St,5,h,2100000,S,Nelson,6/5/17,5.9,3032,5,3,3,468,274,1925,Moonee Valley City Council,-37.7822,144.9065,Western Metropolitan,6567
Jacana,12 Lorraine Cr,3,h,528000,SP,RW,22/07/2017,14,3047,3,1,3,588,92,1960,Hume City Council,-37.68306,144.90928,Northern Metropolitan,851
Burwood,29 Meldan St,2,h,1350000,S,Fletchers,16/04/2016,11.7,3125,2,1,2,593,82,1950,Monash City Council,-37.8444,145.1054,Southern Metropolitan,5678
Glenroy,65 Farview St,3,h,762700,SP,Stockdale,25/02/2017,13,3046,3,1,4,597,100,1960,Moreland City Council,-37.7097,144.9351,Northern Metropolitan,8870
Elsternwick,8 Prentice St,3,h,2105000,S,Biggin,19/08/2017,7.2,3185,3,2,1,346,180,1890,Glen Eira City Council,-37.88319,145.01142,Southern Metropolitan,4898
Melton South,71 Hume Av,4,h,410000,S,hockingstuart,9/9/17,29.8,3338,4,1,2,578,104,1980,Melton City Council,-37.71077,144.57198,Western Victoria,4718
Bentleigh East,4 Tambet St,3,h,1100000,SP,Buxton,8/10/16,13.9,3165,3,1,2,578,163,1955,Glen Eira City Council,-37.9186,145.0709,Southern Metropolitan,10969
Boronia,8 Darwin Rd,3,h,775000,S,Ray,8/7/17,25,3155,3,1,2,720,131,1970,Knox City Council,-37.86126,145.25808,Eastern Metropolitan,9704
Prahran,62 Pridham St,3,h,1612000,S,Jellis,30/07/2016,4.5,3181,3,2,0,146,139,1900,Stonnington City Council,-37.8519,145.0055,Southern Metropolitan,7717
Cheltenham,9 Allnutt Ct,3,h,800000,PI,Ray,6/1/18,17.9,3192,3,1,2,585,123,1965,Bayside City Council,-37.9685,145.07538,Southern Metropolitan,9758
Noble Park,6 Helen Ct,3,h,676000,SP,Leyton,27/05/2017,22.7,3174,3,1,1,587,114.2,1960,Greater Dandenong City Council,-37.96968,145.16832,South-Eastern Metropolitan,11806
Carnegie,5/60 Woornack Rd,2,u,650000,S,hockingstuart,18/06/2016,11.4,3163,2,1,1,174,80,1975,Glen Eira City Council,-37.8978,145.062,Southern Metropolitan,7822
Tarneit,27 McMahon Cr,3,h,350000,VB,S&L,26/08/2017,18.4,3029,3,1,1,466,103,2003,Wyndham City Council,-37.86744,144.65609,Western Metropolitan,10160
Surrey Hills,6A Thistle St,4,h,1600000,PI,Marshall,20/05/2017,11.2,3127,4,1,2,600,186,1886,Boroondara City Council,-37.8327,145.0976,Southern Metropolitan,5457
Berwick,38 Bellevue Dr,3,h,530000,PI,C21,14/10/2017,35.2,3806,3,2,1,530,107,1996,Casey City Council,-38.05146,145.33143,Eastern Victoria,17093
Balwyn North,16 Riverview Rd,3,h,1890000,S,Fletchers,19/08/2017,9.7,3104,3,2,1,632,144,1940,Boroondara City Council,-37.79094,145.07899,Southern Metropolitan,7809
Croydon,33 Jackson St,3,h,662000,S,hockingstuart,15/07/2017,23,3136,3,1,1,396,120,1950,Maroondah City Council,-37.79486,145.28674,Eastern Metropolitan,11925
Brunswick East,9 John St,4,h,1625000,S,Nelson,7/5/16,4.5,3057,4,2,2,822,145,1890,Moreland City Council,-37.7749,144.9762,Northern Metropolitan,5533
Sunshine West,16 Mapledene Ct,3,h,500000,SP,Barry,14/05/2016,13.5,3020,3,1,1,541,133,1970,Brimbank City Council,-37.7928,144.804,Western Metropolitan,6763
Yarraville,6 Deakin St,3,h,920000,S,Sweeney,21/10/2017,6.3,3013,3,1,0,207,99,1920,Maribyrnong City Council,-37.81306,144.88085,Western Metropolitan,6543
Thornbury,316 Rossmoyne St,3,h,1375000,S,McGrath,3/9/17,7,3071,4,2,3,530,145,1950,Darebin City Council,-37.75968,145.02305,Northern Metropolitan,8870
Murrumbeena,22/41 Murrumbeena Rd,2,u,605000,SP,Fletchers,12/11/16,12.1,3163,2,2,2,5289,72,2013,Glen Eira City Council,-37.8882,145.0666,Southern Metropolitan,4442
Mordialloc,46 Barkly St,4,h,1500000,S,Buxton,26/08/2017,21.5,3195,4,3,2,557,178,1920,Kingston City Council,-38.00341,145.08773,South-Eastern Metropolitan,3650
Gladstone Park,91 Carrick Dr,3,h,755000,S,Jason,27/05/2017,12.9,3043,3,1,1,935,130,1975,Hume City Council,-37.69744,144.89073,Western Metropolitan,3285
Bayswater,95 Orange Gr,4,h,925000,SP,Biggin,17/06/2017,23.2,3153,4,1,10,993,128,1966,Knox City Council,-37.84688,145.25632,Eastern Metropolitan,5030
Werribee,17 Timbarra Dr,4,h,665000,S,hockingstuart,22/07/2017,14.7,3030,4,2,2,520,201,2014,Wyndham City Council,-37.91859,144.64143,Western Metropolitan,16166
Niddrie,3 Grandview Rd,3,h,845000,SP,Brad,26/08/2017,10.4,3042,3,1,1,345,111,1950,Moonee Valley City Council,-37.73901,144.89154,Western Metropolitan,2291
Glen Iris,25 Aintree Rd,4,h,3120000,S,Marshall,21/10/2017,7.3,3146,4,2,2,725,276,1950,Boroondara City Council,-37.85647,145.04354,Southern Metropolitan,10412
Bentleigh East,1 Melva St,4,h,1515000,S,Buxton,6/5/17,13.9,3165,4,3,2,635,200,1950,Glen Eira City Council,-37.9107,145.0745,Southern Metropolitan,10969
Fawkner,2 Twyford St,3,h,800500,S,Brad,17/02/2018,13.1,3060,3,1,2,536,119,1960,Hume City Council,-37.69895,144.97452,Northern Metropolitan,5070
Mill Park,14 Medlar Ct,3,h,650000,PI,Ray,29/07/2017,17.9,3082,3,2,1,661,141,1990,Whittlesea City Council,-37.66898,145.07209,Northern Metropolitan,10529
Kew,75 Earl St,2,h,2875000,S,Jellis,27/06/2016,5.6,3101,2,1,1,1065,90,1910,Boroondara City Council,-37.7944,145.0339,Southern Metropolitan,10331
Canterbury,33 Myrtle Rd,3,h,1587500,S,Marshall,3/12/16,9,3126,3,1,1,459,130,1920,Boroondara City Council,-37.8265,145.072,Southern Metropolitan,3265
Burwood,18 Brockhoff Dr,4,h,1250000,SA,Barry,24/09/2016,11.7,3125,4,2,2,499,220,2005,Monash City Council,-37.8593,145.1101,Southern Metropolitan,5678
Hillside,3 Sage Cl,5,h,650500,SP,YPA,1/7/17,18,3037,5,2,2,615,213,2007,Brimbank City Council,-37.68455,144.73272,Western Metropolitan,5556
Berwick,5 Gretel Pl,3,h,690000,S,Harcourts,24/06/2017,35.2,3806,3,2,2,703,153,1980,Casey City Council,-38.03062,145.35951,Eastern Victoria,17093
Caulfield North,11 Arthur St,3,h,1400000,SP,Gary,15/10/2016,8.1,3161,3,1,0,270,139,1910,Glen Eira City Council,-37.868,145.0269,Southern Metropolitan,6923
Elwood,3/211 Brighton Rd,1,u,390000,VB,hockingstuart,25/02/2017,7.7,3184,1,1,1,644,47,1960,Port Phillip City Council,-37.8798,144.994,Southern Metropolitan,8989
Beaumaris,17 Bodley St,4,t,1820000,SP,Chisholm,3/3/18,17.3,3193,4,2,3,353,252,2010,Bayside City Council,-37.9904,145.03871,Southern Metropolitan,5366
Eltham North,4 Colric Pl,3,h,900000,S,Fletchers,12/8/17,18,3095,3,2,2,812,129,1980,Banyule City Council,-37.70577,145.1316,Eastern Metropolitan,2346
Bentleigh East,10 Majdal St,3,h,1225000,SP,Buxton,24/06/2017,13.8,3165,3,1,2,580,129,1950,Glen Eira City Council,-37.90984,145.08001,Southern Metropolitan,10969
Fitzroy,60 Bell St,4,h,1620000,S,Nelson,22/05/2016,1.6,3065,3,2,1,132,165,1880,Yarra City Council,-37.8004,144.9768,Northern Metropolitan,5825
Greenvale,38 Candlebark Dr,4,h,700000,SP,YPA,28/10/2017,20.4,3059,4,2,2,655,223,2009,Hume City Council,-37.61032,144.90828,Northern Metropolitan,4864
Viewbank,43 Eamon Dr,5,h,1050000,S,Miles,24/02/2018,8.9,3084,5,3,2,576,208,1977,Banyule City Council,-37.73713,145.08957,Eastern Metropolitan,2698
Thornbury,2 Bradley Av,3,h,1530000,S,Jellis,17/03/2018,7,3071,3,1,2,442,127,1950,Darebin City Council,-37.76113,144.99212,Northern Metropolitan,8870
Malvern East,21 Virginia Gr,3,h,1782500,S,Ray,28/08/2016,11.2,3145,3,1,2,615,126,1950,Stonnington City Council,-37.8846,145.0861,Southern Metropolitan,8801
Yarraville,7 Hughes St,3,h,840000,S,Village,28/08/2016,7,3013,4,1,1,470,127,1970,Maribyrnong City Council,-37.822,144.8904,Western Metropolitan,6543
Essendon,7 Hilda St,3,h,1150000,S,Paul,26/07/2016,8,3040,3,1,0,300,145,1900,Moonee Valley City Council,-37.7548,144.9315,Western Metropolitan,9264
Glenroy,46 Moonee Bvd,4,h,600000,SP,Stockdale,23/04/2016,13,3046,4,1,2,586,159,1968,Moreland City Council,-37.6975,144.9065,Northern Metropolitan,8870
Camberwell,2 Bow Cr,3,h,1300000,S,RT,9/12/17,7.7,3124,3,1,1,362,94,1900,Boroondara City Council,-37.82718,145.07,Southern Metropolitan,8920
Malvern East,22 Ellison St,3,h,1297000,S,Marshall,27/11/2016,11.2,3145,3,1,1,333,147,1948,Stonnington City Council,-37.8722,145.067,Southern Metropolitan,8801
Kensington,35 Henry St,3,h,1037000,S,Rendina,3/9/16,4.2,3031,3,1,1,188,106,1910,Melbourne City Council,-37.7953,144.9275,Northern Metropolitan,5263
Sunshine North,374 Ballarat Rd,3,h,821000,S,Douglas,3/3/18,10.5,3020,3,1,2,624,143,1955,Brimbank City Council,-37.77864,144.84572,Western Metropolitan,4217
Balwyn North,4 Penn St,3,h,2100000,PI,Jellis,9/12/17,9.7,3104,3,2,2,717,300,2004,Boroondara City Council,-37.78952,145.08367,Southern Metropolitan,7809
Pascoe Vale,101 Northumberland Rd,3,t,600000,S,Eview,17/09/2016,9.9,3044,3,3,1,205,107,1940,Moreland City Council,-37.7212,144.9326,Northern Metropolitan,7485
Yarraville,62 Stephen St,3,h,1285000,SP,Village,8/7/17,6.3,3013,3,1,1,284,124,1900,Maribyrnong City Council,-37.81335,144.89471,Western Metropolitan,6543
Brunswick,28 Osborne St,3,h,855000,S,Nelson,8/10/16,5.2,3056,3,1,1,229,97,1930,Moreland City Council,-37.7622,144.9586,Northern Metropolitan,11918
Templestowe Lower,124 Swanston St,3,h,1240000,S,Barry,17/06/2017,12.4,3107,3,2,1,673,150,1965,Manningham City Council,-37.75965,145.09937,Eastern Metropolitan,5420
Gowanbrae,31 Seggan Cir,3,t,532000,S,Nelson,3/9/16,13.6,3043,3,2,1,149,19,2005,Moreland City Council,-37.7068,144.8963,Western Metropolitan,1071
Westmeadows,12 Thornleigh Pl,4,h,755000,S,YPA,11/11/17,16.5,3049,4,2,2,563,180,1974,Hume City Council,-37.6772,144.8741,Northern Metropolitan,2474
Surrey Hills,27 Surrey Av,4,h,2665000,SP,hockingstuart,17/03/2018,10.2,3127,4,3,2,444,241,1910,Boroondara City Council,-37.82144,145.09627,Southern Metropolitan,5457
Kew,1/125 Walpole St,2,t,825000,S,Jellis,27/05/2017,5.4,3101,2,1,3,193,107,1995,Boroondara City Council,-37.79438,145.03369,Southern Metropolitan,10331
Sunshine,9 Una St,3,h,695000,S,Sweeney,22/08/2016,12.6,3020,3,1,1,616,117,1930,Brimbank City Council,-37.7842,144.843,Western Metropolitan,3755
Doncaster,5/333 George St,3,u,772000,S,Barry,10/12/16,13.9,3108,3,2,1,203,109,1986,Manningham City Council,-37.7776,145.1267,Eastern Metropolitan,9028
Essendon,59 Hedderwick St,5,h,2800000,PI,Nelson,8/10/16,8,3040,5,4,6,877,378,2005,Moonee Valley City Council,-37.7491,144.9002,Western Metropolitan,9264
Thornbury,159A Smith St,2,h,905000,S,Nelson,8/7/17,7,3071,2,1,0,225,100,1960,Darebin City Council,-37.75642,144.98755,Northern Metropolitan,8870
Bentleigh East,59 Tambet St,4,t,1160000,S,hockingstuart,6/8/16,13.9,3165,3,2,2,321,180,2006,Glen Eira City Council,-37.914,145.0714,Southern Metropolitan,10969
Glenroy,135 Hilton St,3,h,600000,SP,Barry,24/09/2016,13,3046,3,1,2,599,150,1960,Moreland City Council,-37.7009,144.9291,Northern Metropolitan,8870
Coburg,17 Quarry Cct,4,h,1020000,PI,Ray,24/06/2017,6.7,3058,4,2,2,441,255,2002,Darebin City Council,-37.73572,144.97256,Northern Metropolitan,11204
Brunswick,84 Stewart St,3,h,1045000,S,Jellis,16/04/2016,5.2,3056,3,1,2,222,105,1890,Moreland City Council,-37.7642,144.969,Northern Metropolitan,11918
Aberfeldie,2 Knight St,5,h,1825000,VB,Nelson,18/11/2017,7.5,3040,5,2,2,691,301,1925,Moonee Valley City Council,-37.756,144.9002,Western Metropolitan,1543
Armadale,44 Hampden Rd,4,h,4200000,VB,Kay,27/11/2016,6.3,3143,4,3,3,563,333,2000,Stonnington City Council,-37.8582,145.0138,Southern Metropolitan,4836
Reservoir,3 Hillcroft St,3,h,810000,SP,Nelson,10/12/16,11.2,3073,3,1,2,564,558,1960,Darebin City Council,-37.7196,144.9899,Northern Metropolitan,21650
Kingsville,74 Chirnside St,3,h,1340000,S,Jas,19/11/2016,7.8,3012,3,2,0,272,132,1915,Maribyrnong City Council,-37.8079,144.8825,Western Metropolitan,1808
Bentleigh East,93 Tudor St,3,h,921000,S,Buxton,16/04/2016,13.9,3165,3,2,1,291,119,2000,Glen Eira City Council,-37.919,145.0829,Southern Metropolitan,10969
Greensborough,53 Narbethong Dr,3,h,866000,S,hockingstuart,8/7/17,16.1,3088,3,2,2,743,147,1980,Banyule City Council,-37.71733,145.09622,Northern Metropolitan,8524
Armadale,1/5 The Terrace,2,u,852000,S,Woodards,22/04/2017,6.3,3143,2,1,1,869,74,1980,Stonnington City Council,-37.8603,145.0224,Southern Metropolitan,4836
Elsternwick,275 Kooyong Rd,3,h,1605000,S,Biggin,27/11/2016,8.5,3185,3,1,1,418,152,1890,Glen Eira City Council,-37.8831,145.0153,Southern Metropolitan,4898
Box Hill,3/14 Bedford St,3,t,750000,S,Jellis,15/10/2016,13.1,3128,3,2,1,150,3,2000,Whitehorse City Council,-37.8287,145.1319,Eastern Metropolitan,4605
Point Cook,18 Tanoa Cr,4,h,766000,S,Point,17/02/2018,14.7,3030,4,2,2,512,186,2010,Wyndham City Council,-37.90557,144.7413,Western Metropolitan,15542
Flemington,2/121 Wellington St,2,u,452500,S,Nelson,23/09/2017,3.4,3031,2,1,1,807,54,1970,Melbourne City Council,-37.783,144.93204,Northern Metropolitan,3593
Werribee,21 Selbourne Av,4,h,552000,S,Burns,6/1/18,14.7,3030,4,2,2,742,177,2000,Wyndham City Council,-37.87348,144.6637,Western Metropolitan,16166
Dingley Village,8 Kathrin Av,3,h,900000,PI,Ray,3/3/18,22.2,3172,3,2,2,572,174,1970,Kingston City Council,-37.98068,145.13389,South-Eastern Metropolitan,3940
Sunshine West,32 Kosa Av,3,t,535000,PI,Douglas,17/03/2018,10.5,3020,3,2,2,166,134,2013,Brimbank City Council,-37.79498,144.79227,Western Metropolitan,6763
Richmond,57 Neptune St,3,h,1650000,S,hockingstuart,23/04/2016,2.6,3121,3,2,1,312,141,1920,Yarra City Council,-37.8217,145.007,Northern Metropolitan,14949
Hallam,64 Frawley Rd,3,h,645000,SP,O'Brien,7/10/17,32.3,3803,3,2,2,787,124,1980,Casey City Council,-37.9994,145.25724,South-Eastern Metropolitan,3728
Wantirna South,5 Hunt Ct,3,h,980000,S,Harcourts,17/03/2018,14.7,3152,3,2,2,650,156,1985,Knox City Council,-37.88812,145.22391,Eastern Metropolitan,7082
Essendon North,2/26 Renown St,3,u,712000,S,Nelson,22/08/2016,9.4,3041,3,2,2,189,104,2009,Moonee Valley City Council,-37.7374,144.9006,Western Metropolitan,1308
Camberwell,591 Camberwell Rd,2,h,895000,PI,O'Donoghues,16/04/2016,7.8,3124,2,1,1,424,95,1930,Boroondara City Council,-37.8465,145.0743,Southern Metropolitan,8920
Airport West,23 Matthews Av,4,h,790000,VB,Barry,6/1/18,10.4,3042,4,2,1,585,178,2015,Moonee Valley City Council,-37.73344,144.88925,Western Metropolitan,3464
Preston,145 Murray Rd,3,h,881000,S,Love,3/6/17,8.4,3072,3,1,2,470,115,1930,Darebin City Council,-37.73912,145.01298,Northern Metropolitan,14577
Montmorency,2/22 Looker Rd,3,t,820000,S,Buckingham,15/07/2017,16.2,3094,3,2,2,260,157,2010,Banyule City Council,-37.72394,145.12456,Eastern Metropolitan,3891
Reservoir,9 Kelverne St,3,h,685000,S,Nelson,24/06/2017,12,3073,3,1,3,494,102,1960,Darebin City Council,-37.71477,144.98235,Northern Metropolitan,21650
Elsternwick,17/39 Horne St,3,t,850000,PI,Scott,19/11/2016,8.5,3185,3,2,2,108,142,2000,Glen Eira City Council,-37.8861,145.0014,Southern Metropolitan,4898
Ashwood,28 Carlyle St,4,h,1360000,PI,Buxton,9/12/17,10.2,3147,4,2,2,701,183,1950,Monash City Council,-37.86138,145.09694,Southern Metropolitan,2894
Pascoe Vale,130 Essex St,3,h,960000,S,Brad,28/08/2016,9.9,3044,3,2,2,501,501,1960,Moreland City Council,-37.7258,144.9347,Northern Metropolitan,7485
Parkville,50 Strickland Rd,4,h,1230000,S,Nelson,3/9/16,2.6,3052,4,2,2,357,249,2009,Melbourne City Council,-37.7767,144.9403,Northern Metropolitan,2309
Wantirna South,6 Maringa Cl,5,h,1075000,S,Ray,6/1/18,14.7,3152,5,2,2,922,279,1984,Knox City Council,-37.87004,145.22082,Eastern Metropolitan,7082
Reservoir,7 East St,3,h,810000,S,hockingstuart,6/1/18,12,3073,3,2,2,186,118,2014,Darebin City Council,-37.72156,145.01103,Northern Metropolitan,21650
Essendon,21 Miller St,3,h,1445000,S,Nelson,28/08/2016,8,3040,3,2,1,400,168,1910,Moonee Valley City Council,-37.7542,144.9117,Western Metropolitan,9264
Meadow Heights,25 Darebin Ct,3,h,370000,S,YPA,16/09/2017,17.4,3048,3,1,1,784,95,1978,Hume City Council,-37.65877,144.91191,Northern Metropolitan,4704
Rowville,11 Jindalee Cl,5,h,870000,S,Harcourts,1/7/17,23.5,3178,5,2,2,733,217,1986,Knox City Council,-37.91894,145.24305,South-Eastern Metropolitan,11667
Gladstone Park,3 Finlay Cl,4,h,760000,S,Barry,28/10/2017,12.9,3043,4,3,2,578,208,1980,Hume City Council,-37.685,144.8934,Western Metropolitan,3285
South Morang,15 Payne Pl,4,h,621000,S,Stockdale,9/12/17,20.5,3752,4,2,2,568,170,2002,Whittlesea City Council,-37.65116,145.09417,Northern Metropolitan,7969
Greenvale,48 Glencairn Dr,4,h,690000,S,Barry,6/1/18,20.4,3059,4,2,2,652,200,1988,Hume City Council,-37.64374,144.88919,Northern Metropolitan,4864
Preston,194 Miller St,4,h,950000,S,Ray,27/11/2016,8.8,3072,4,2,1,243,140,2005,Darebin City Council,-37.7506,144.9847,Northern Metropolitan,14577
Coburg,3/117 Gordon St,3,t,687000,S,Nelson,27/11/2016,7.8,3058,3,1,1,116,140,1995,Darebin City Council,-37.7454,144.9487,Northern Metropolitan,11204
Frankston North,1 Monterey Bvd,3,h,452000,SP,Ray,3/6/17,36.9,3200,3,1,0,624,114,1962,Frankston City Council,-38.1187,145.14973,Eastern Victoria,2500
